Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,81.480003,82.169998,81.25,81.269997,6744500,81.269997
2015-12-30,82.949997,83.110001,81.50,81.68,6984300,81.68
2015-12-29,82.50,83.510002,82.410004,83.260002,6942700,83.260002
2015-12-28,82.559998,82.75,81.519997,82.139999,9319400,82.139999
2015-12-24,84.559998,84.800003,83.410004,83.709999,3775300,83.709999
2015-12-23,85.050003,85.089996,83.720001,84.800003,11238500,84.800003
2015-12-22,82.889999,85.099998,82.889999,84.839996,12778200,84.839996
2015-12-21,83.150002,83.730003,82.43,82.870003,8094600,82.870003
2015-12-18,83.199997,83.75,82.029999,82.650002,12168700,82.650002
2015-12-17,85.00,85.32,82.849998,83.559998,13003000,83.559998
2015-12-16,83.300003,85.050003,82.995003,84.629997,16575600,84.629997
2015-12-15,81.059998,83.389999,80.900002,82.489998,13054800,82.489998
2015-12-14,80.150002,80.760002,78.989998,80.57,12077700,80.57
2015-12-11,82.849998,83.050003,79.421997,79.739998,20793600,79.739998
2015-12-10,83.339996,84.339996,82.849998,84.330002,10474700,84.330002
2015-12-09,84.370003,85.199997,82.970001,83.419998,21919200,83.419998
2015-12-08,82.769997,84.669998,82.610001,84.379997,14667400,84.379997
2015-12-07,84.800003,85.129997,84.199997,84.760002,11875500,84.760002
2015-12-04,82.580002,85.00,82.419998,84.849998,15555000,84.849998
2015-12-03,85.050003,85.099998,82.099998,82.589996,23029200,82.589996
2015-12-02,84.269997,85.82,84.25,85.00,36611500,85.00
2015-12-01,83.769997,84.389999,83.50,84.00,26235500,84.00
2015-11-30,81.50,84.470001,81.379997,84.080002,97914100,84.080002
2015-11-27,80.57,81.410004,79.275002,81.379997,12599900,81.379997
2015-11-25,80.910004,82.675003,80.82,81.709999,16330900,81.709999
2015-11-24,80.849998,81.110001,79.269997,80.860001,15283600,80.860001
2015-11-23,80.449997,82.190002,79.970001,81.309998,18766400,81.309998
2015-11-20,78.440002,80.785004,78.400002,79.949997,21025800,79.949997
2015-11-19,78.059998,79.150002,77.403,77.870003,15692700,77.870003
2015-11-18,78.25,78.309998,76.150002,77.690002,16735400,77.690002
2015-11-17,78.900002,79.139999,77.470001,78.129997,12471400,78.129997
2015-11-16,75.830002,78.75,75.769997,78.300003,17045500,78.300003
2015-11-13,77.150002,78.00,75.639999,75.849998,24235500,75.849998
2015-11-12,78.989998,80.50,78.449997,78.760002,18839800,78.760002
2015-11-11,82.279999,82.489998,78.120003,79.849998,29636600,79.849998
2015-11-10,81.099998,82.43,79.620003,81.43,22004400,81.43
2015-11-09,83.440002,83.470001,80.220001,81.379997,19091500,81.379997
2015-11-06,85.529999,86.349998,80.769997,83.610001,38531000,83.610001
2015-11-05,85.220001,86.419998,84.199997,85.379997,20657200,85.379997
2015-11-04,84.449997,85.599998,84.029999,85.400002,23728500,85.400002
2015-11-03,84.00,84.589996,83.129997,83.440002,11641300,83.440002
2015-11-02,83.519997,84.830002,82.75,84.349998,13827400,84.349998
2015-10-30,82.699997,84.440002,82.599998,83.830002,20740500,83.830002
2015-10-29,81.970001,82.529999,80.82,82.220001,16431700,82.220001
2015-10-28,79.480003,82.544998,79.199997,82.349998,25027100,82.349998
2015-10-27,76.349998,82.790001,76.349998,79.440002,50815800,79.440002
2015-10-26,75.440002,77.419998,75.129997,76.349998,24819700,76.349998
2015-10-23,73.980003,75.760002,72.839996,75.620003,22510800,75.620003
2015-10-22,70.160004,71.629997,70.07,70.989998,10811400,70.989998
2015-10-21,71.790001,71.790001,68.889999,69.480003,16800200,69.480003
2015-10-20,72.989998,73.00,71.550003,71.790001,11093400,71.790001
2015-10-19,71.800003,73.00,71.522003,72.650002,10886900,72.650002
2015-10-16,72.50,73.639999,71.209999,71.989998,15953500,71.989998
2015-10-15,69.339996,72.440002,69.260002,71.779999,18203000,71.779999
2015-10-14,69.50,69.699997,67.425003,68.540001,12286100,68.540001
2015-10-13,69.489998,70.32,68.379997,69.68,13052800,69.68
