Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.35,4.57,4.34,4.53,130500,22.650002
2014-12-30,4.29,4.41,4.11,4.36,121000,21.800001
2014-12-29,4.04,4.35,3.98,4.33,184600,21.65
2014-12-26,4.00,4.13,3.93,4.04,102500,20.200001
2014-12-24,4.21,4.25,3.91,3.99,117000,19.950001
2014-12-23,4.57,4.57,4.11,4.23,189600,21.15
2014-12-22,4.70,4.76,4.35,4.57,213000,22.850001
2014-12-19,4.36,4.78,4.18,4.71,412500,23.55
2014-12-18,4.65,4.66,4.20,4.34,221300,21.700001
2014-12-17,3.76,4.11,3.69,4.11,156200,20.550001
2014-12-16,3.75,3.98,3.69,3.76,211900,18.80
2014-12-15,4.00,4.14,3.73,3.80,216400,19.00
2014-12-12,3.84,4.12,3.57,3.93,373500,19.65
2014-12-11,4.01,4.18,3.81,3.86,287700,19.30
2014-12-10,4.26,4.44,3.99,4.01,202100,20.050001
2014-12-09,4.25,4.50,4.15,4.33,163200,21.65
2014-12-08,4.65,4.74,4.14,4.20,203500,21.00
2014-12-05,4.88,4.97,4.68,4.74,160000,23.699999
2014-12-04,4.64,5.06,4.62,4.92,191700,24.600001
2014-12-03,4.61,4.90,4.57,4.63,232000,23.150002
2014-12-02,4.91,5.09,4.52,4.55,361500,22.75
2014-12-01,5.55,5.70,4.93,4.93,268700,24.65
2014-11-28,6.00,6.09,5.56,5.71,165100,28.299999
2014-11-26,6.45,6.45,6.25,6.33,132600,31.372854
2014-11-25,6.55,6.75,6.45,6.50,118200,32.215412
2014-11-24,6.52,6.75,6.41,6.50,146200,32.215412
2014-11-21,7.14,7.15,6.35,6.41,315800,31.769351
2014-11-20,7.03,7.15,6.86,7.14,136500,35.387391
2014-11-19,7.05,7.10,6.79,6.80,133700,33.702277
2014-11-18,6.97,7.19,6.90,7.04,135500,34.89177
2014-11-17,7.35,7.37,6.90,6.92,188000,34.297021
2014-11-14,6.90,7.36,6.78,7.35,128400,36.428196
2014-11-13,7.47,7.47,6.760001,6.78,243400,33.603154
2014-11-12,7.61,7.69,7.49,7.53,74700,37.320317
2014-11-11,7.74,7.85,7.45,7.64,128700,37.8655
2014-11-10,7.91,8.41,7.62,7.74,145500,38.361118
2014-11-07,7.43,7.96,7.43,7.92,104200,39.253239
2014-11-06,7.31,7.80,7.22,7.43,151900,36.824691
2014-11-05,7.69,7.85,7.22,7.25,162700,35.932575
2014-11-04,8.19,8.20,7.54,7.73,203000,38.31156
2014-11-03,8.74,8.74,8.28,8.28,121700,41.037476
2014-10-31,9.12,9.12,8.53,8.78,210300,43.515585
2014-10-30,8.60,8.99,8.50,8.89,164400,44.060772
2014-10-29,8.66,8.970001,8.43,8.94,213900,44.308579
2014-10-28,8.15,8.82,8.08,8.68,210500,43.019967
2014-10-27,7.78,8.14,7.67,8.020001,128000,39.748864
2014-10-24,7.820001,7.98,7.35,7.90,177100,39.154116
2014-10-23,7.89,8.060001,7.72,7.75,125000,38.410683
2014-10-22,8.14,8.40,7.72,7.85,175200,38.906305
2014-10-21,7.87,8.38,7.81,8.04,356400,39.847987
2014-10-20,7.10,7.71,7.10,7.68,243200,38.063746
2014-10-17,7.40,7.79,6.91,6.96,244800,34.495271
2014-10-16,6.29,7.34,6.25,7.25,273200,35.932575
2014-10-15,6.17,6.56,5.79,6.38,263800,31.620667
2014-10-14,6.75,6.83,6.25,6.33,272500,31.372854
2014-10-13,7.03,7.37,6.48,6.50,249600,32.215412
2014-10-10,7.45,7.62,7.00,7.03,270900,34.842208
2014-10-09,7.80,8.010001,6.97,7.19,369000,35.635202
2014-10-08,8.00,8.07,7.29,7.48,260700,37.072506
2014-10-07,8.770001,8.770001,7.64,7.85,278900,38.906305
2014-10-06,8.95,8.95,8.36,8.49,211000,42.078281
